date,price
1973-03-05,6.3300
1973-03-06,6.4800
1973-03-07,6.6075
1973-03-08,6.5150
1973-03-09,6.4800
1973-03-12,6.3300
1973-03-13,6.1800
1973-03-14,6.0300
1973-03-15,6.1800
1973-03-16,6.0300
1973-03-19,5.8800
1973-03-20,5.7300
1973-03-21,5.6800
1973-03-22,5.7900
1973-03-23,5.8875
1973-03-26,5.8475
1973-03-27,5.6975
1973-03-28,5.5475
1973-03-29,5.3975
1973-03-30,5.3875
1973-04-02,5.5375
1973-04-03,5.6875
1973-04-04,5.8375
1973-04-05,5.9875
1973-04-06,5.9450
1973-04-09,6.0950
1973-04-10,6.1075
1973-04-11,6.1712
1973-04-12,6.3250
1973-04-13,6.3350
1973-04-16,6.4462
1973-04-17,6.3950
1973-04-18,6.3412
1973-04-19,6.4550
1973-04-23,6.5387
1973-04-24,6.5400
1973-04-25,6.6185
1973-04-26,6.6970
1973-04-27,6.7755
1973-04-30,6.9230
1973-05-01,6.9325
1973-05-02,7.0825
1973-05-03,7.2325
1973-05-04,7.2550
1973-05-07,7.4550
1973-05-08,7.6550
1973-05-09,7.8550
1973-05-10,8.0550
1973-05-11,7.9700
1973-05-14,8.1700
1973-05-15,8.3700
1973-05-16,8.3800
1973-05-17,8.1800
1973-05-18,8.3800
1973-05-21,8.5800
1973-05-22,8.7800
1973-05-23,8.9800
1973-05-24,9.1800
1973-05-25,9.3800
1973-05-29,9.7800
1973-05-30,10.1800
1973-05-31,10.5800
1973-06-01,11.3250
1973-06-04,12.1100
1973-06-05,11.8000
1973-06-06,10.1250
1973-06-07,9.6500
1973-06-08,10.1700
1973-06-11,11.5500
1973-06-12,11.4800
1973-06-13,11.0000
1973-06-14,10.1500
1973-06-15,10.4900
1973-06-18,11.2250
1973-06-19,11.3800
1973-06-20,11.3250
1973-06-22,11.5100
1973-06-25,11.5140
1973-06-26,10.8560
1973-06-27,10.5900
1973-06-29,10.0400
1973-07-02,9.6500
1973-07-03,9.2500
1973-07-05,8.8500
1973-07-06,8.4500
1973-07-09,8.0500
1973-07-10,7.6500
1973-07-11,7.4000
1973-07-12,7.8000
1973-07-13,8.2000
1973-07-16,8.6000
1973-07-17,9.0000
1973-07-18,9.4000
1973-07-19,9.8000
1973-07-20,10.2000
1973-07-23,10.6000
1973-07-24,11.0000
1973-07-25,11.4000
1973-07-26,10.7400
1973-07-27,10.0800
